tract,pm25,pm25_pct,poverty,poverty_pct,nearest_sensor_km,sensors_within_1km,ces_score,latitude,longitude
6037408141,12.21273735,90.45553145336225,47.8,72.7114967462039,2.1424484036003886,0,34.8302471334839,34.008773,-117.8924325
6037228800,12.21219619,90.39045553145336,62.8,91.49674620390455,3.800254273820759,0,65.6868543367276,33.9992469,-118.2432565
6037228720,12.21219619,90.39045553145336,71.7,97.80911062906725,3.28582848578579,0,62.3827407558252,33.999367,-118.2499406
6037531902,12.20456374,89.89154013015185,44.4,67.65726681127983,3.969063173640586,0,52.0199363135437,34.0117799,-118.1324571
6037532002,12.19858018,89.80477223427332,56.4,84.72885032537961,4.5466480309854065,0,60.5821335724086,34.0035288,-118.1174056
6037530901,12.195666750000001,89.71800433839479,45.7,69.86984815618221,2.3767942377892273,0,46.9433373560436,34.0432749,-118.1886037
6037201402,12.19527041,89.67462039045553,51.1,77.85249457700651,1.558232404530341,0,52.1574594700478,34.0689106,-118.1877681
6037534002,12.18882021,89.3709327548807,48.4,73.64425162689805,2.8244805265754906,0,43.1343528890275,33.9674778,-118.1399857
6037531800,12.18849049,89.32754880694144,53.9,81.23644251626898,3.185783608281757,0,38.788131057186,34.0186986,-118.1391833
6037543201,12.18773918,89.28416485900217,40.2,61.17136659436009,2.509547220196579,0,59.3295121101972,33.8849107,-118.2347142
6037551102,12.17927262,88.85032537960954,41.1,62.21258134490238,1.9863638469223057,0,51.4467471539315,33.9259214,-118.1206401
6037228900,12.16800708,87.76572668112799,77.8,98.87201735357918,4.292243904949056,0,69.5592483216759,33.9920544,-118.2430143
6037407701,12.16555191,87.63557483731019,49.8,75.48806941431671,2.017490583641417,0,49.2360996890212,34.013937,-117.9298385
6037224020,12.16525921,87.59219088937094,66.8,95.40130151843817,1.5295982191278574,0,55.3899484082378,34.0304827,-118.2686568
6037531102,12.15909476,87.31019522776573,55.0,82.97180043383948,1.7083385287743644,0,57.4579031989092,34.0368392,-118.1815818
6037531101,12.15909476,87.31019522776573,48.4,73.64425162689805,2.0074849459625352,0,60.9774662608925,34.0360915,-118.1885025
6037226001,12.15802236,87.22342733188721,71.9,97.9175704989154,2.3503301681202378,0,76.5227620443192,34.0244835,-118.2502739
6037226420,12.15802236,87.22342733188721,57.7,86.13882863340564,2.0231024669660598,0,62.3765715023327,34.0218419,-118.2570623
6037228100,12.15734144,87.13665943600869,60.3,89.24078091106291,3.2771295362270516,0,69.2552850083229,34.009617,-118.2439607
6037228220,12.15734144,87.13665943600869,67.1,95.70498915401302,2.783535016607917,0,52.8213676433267,34.0060455,-118.2513193
6037532001,12.15638315,87.02819956616052,59.4,88.30802603036875,4.891970161538883,0,62.2705933690982,34.0060075,-118.1235535
6037229100,12.15277014,86.65943600867679,61.0,89.80477223427332,3.691062803680689,0,65.1359422208361,33.9921607,-118.2520958
6037532800,12.15277014,86.65943600867679,60.7,89.52277657266812,4.195045756829537,0,65.5401404799407,33.9864059,-118.2520926
6037533001,12.15052197,86.48590021691975,62.9,91.60520607375271,5.1036455044486635,0,67.5629827050827,33.9802221,-118.24555
6037532900,12.15052197,86.48590021691975,70.6,97.48373101952278,4.887815236311786,0,66.8685593498605,33.9790503,-118.2520343
6037532304,12.14921007,86.33405639913232,45.6,69.76138828633405,3.0567878695151776,0,69.999705411202,33.9862905,-118.1526793
6037239330,12.14625901,86.05206073752711,61.2,89.9349240780911,4.541652885968254,0,71.2445373289306,33.9783876,-118.2631029
6037239501,12.14625901,86.05206073752711,62.1,90.6941431670282,5.120601706965655,0,67.634865736668,33.9729857,-118.2628927
6037239202,12.14495497,85.7700650759219,57.5,85.90021691973969,3.719751687616813,0,76.2397368207962,33.9856783,-118.2649765
6037291120,12.14261917,85.50976138828634,44.7,68.17787418655098,3.40119809671656,0,58.1284787821411,33.9127934,-118.2869247
6037532605,12.14111892,85.42299349240781,65.7,94.31670281995662,3.8425989760482238,0,53.8820074698118,33.9842413,-118.2251677
6037532604,12.14111892,85.42299349240781,50.1,76.13882863340564,4.119658948232917,0,57.6478167545128,33.9842406,-118.2289994
6037532603,12.14111892,85.42299349240781,59.9,88.80694143167028,4.427396985662467,0,69.063775529479,33.9846156,-118.2333907
